source,target,value
Ron Clements,Frank Welker,168
Igor Kovalyov,Cree Summer,169
Shinji Aramaki,Yû Aoi,170
John A. Davis,Rob Paulsen,171
Cathy Malkasian,Flea,172
John Eng,Cree Summer,173
Ben Stassen,Jenny McCarthy,174
Jérôme Deschamps,André Wilms,175
Inna Evlannikova,Evgeniy Mironov,176
Richard Williams,Kenneth Williams,177
Hayao Miyazaki,Blythe Danner,178
Juan José Campanella,Diego Ramos,179
Trey Parker,Eric Idle,180
Robin Budd,Rob Paulsen,181
Steve Trenbirth,Phil Collins,182
Jun Falkenstein,John Fiedler,183
Anthony Bell,Larry Miller,184
Frank Nissen,Brenda Blethyn,185
Dave Borthwick,Kylie Minogue,186
Richard Linklater,Keanu Reeves,187
Hayao Miyazaki,Jada Pinkett Smith,188
Katsuhiro Ôtomo,Robin Atkin Downes,189
Wayne Thornley,Phil LaMarr,190
Tom Walsh,Maggie Wheeler,191
Hayao Miyazaki,Ryûnosuke Kamiki,192
Christian Volckman,Catherine McCormack,193
Cory Edwards,Chazz Palminteri,194
Guillaume Ivernel,Jess Harnell,195
Mike Nawrocki,Cam Clarke,196
Anthony Silverston,Steve Buscemi,197
Mike Nawrocki,Mike Nawrocki,198
Don Bluth,Gabriel Damon,199
Stéphane Aubier,Megan Mullally,200
Mike Judge,Demi Moore,201
Tim Johnson,Matt Jones,202
Lijun Sun,Tom Arnold,203
Chuck Sheetz,Andrew Lawrence,204
Tuck Tucker,Vincent Schiavelli,205
Timothy Björklund,Kelsey Grammer,206
Taedong Park,Tom Arnold,207
Gerald Potterton,Joe Flaherty,208
Martyn Pick,Steven Waddington,209
Duke Johnson,Tom Noonan,210
Tomm Moore,Mick Lally,211
Katsuhiro Ôtomo,Takeshi Kusao,212
Vincent Paronnaud,Gena Rowlands,213
Vladlen Barbe,Wendee Lee,214
Richard Rich,Kate Higgins,215
Maurice Joyce,Constance Shulman,216
Mamoru Hosoda,Colleen O'Shaughnessey,217
Bob Saget,John Stamos,218
Barrett Esposito,Cyndi Lauper,219
Jay Oliva,Mark Valley,220
Kunihiko Yuyama,Eric Stuart,221
Thorbjørn Christoffersen,Frank Hvam,222
Jerry Rees,Phil Hartman,223
James Algar,Deems Taylor,224
Sylvain Chomet,Charles Linton,225
Ari Folman,Ronny Dayag,226
Jugal Hansraj,Sanjay Mishra,227
William Cottrell,Billy Gilbert,228
Deryck Broom,Omar Benson Miller,229
James Algar,Donnie Dunagan,230
Matt Maiellaro,Fred Armisen,231
Tim Johnson,Matt Jones,232
Paul Fierlinger,Peter Gerety,233
Bill Plympton,Bill Martone,234
Bill Melendez,Bill Melendez,235
Nathan Greno,Brad Garrett,236
Dan Scanlon,Steve Buscemi,237
John Lasseter,Joe Mantegna,238
Lee Unkrich,Tom Hanks,239
Peter Sohn,A.J. Buckley,240
Mark Andrews,Kelly Macdonald,241
Andrew Stanton,John Ratzenberger,242
Robert Zemeckis,Robin Wright,243
Pete Docter,John Ratzenberger,244
Rob Letterman,Amy Poehler,245
Pete Docter,Amy Poehler,246
Mike Mitchell,Jon Hamm,247
Don Hall,Damon Wayans Jr.,248
Rich Moore,Jack McBrayer,249
Robert Zemeckis,Tom Hanks,250
Dean DeBlois,Gerard Butler,251
Chris Miller,Justin Timberlake,252
Brad Bird,Janeane Garofalo,253
Eric Darnell,Bernie Mac,254
Chris Buck,Josh Gad,255
Byron Howard,Chloë Grace Moretz,256
Hoyt Yeatman,Kelli Garner,257
Steve Hickner,Matthew Broderick,258
Jennifer Yuh Nelson,Angelina Jolie Pitt,259
Simon Wells,Elisabeth Harnois,260
David Bowers,Hugh Jackman,261
Rob Minkoff,Ty Burrell,262
Eric Darnell,Jada Pinkett Smith,263
Robert Zemeckis,Robin Wright,264
Alessandro Carloni,J.K. Simmons,265
Peter Ramsey,Hugh Jackman,266
Dean DeBlois,Gerard Butler,267
Hironobu Sakaguchi,Steve Buscemi,268
George Miller,Robin Williams,269
David Soren,Ryan Reynolds,270
Gore Verbinski,Johnny Depp,271
Eric Darnell,Benedict Cumberbatch,272
Mark Osborne,Angelina Jolie Pitt,273
Tim Johnson,Jim Parsons,274
Chris Miller,Salma Hayek,275
Eric Leighton,Alfre Woodard,276
Tom McGrath,J.K. Simmons,277
Carlos Saldanha,Miguel Ferrer,278
Rob Minkoff,Nathan Lane,279
Pete Docter,Steve Buscemi,280
Kirk De Micco,Ryan Reynolds,281
Raja Gosnell,Mahadeo Shivraj,282
Will Finn,Steve Buscemi,283
Raja Gosnell,Jacob Tremblay,284
Ron Clements,Oprah Winfrey,285
Gary Trousdale,Demi Moore,286
Mark Dindal,Eartha Kitt,287
Chris Wedge,Josh Hutcherson,288
Zack Snyder,Abbie Cornish,289
Ron Clements,Joseph Gordon-Levitt,290
Steve Martino,Francesca Capaldi,291
Ash Brannon,Jeff Bridges,292
Bibo Bergeron,Frank Welker,293
Steve Martino,Peter Dinklage,294
Andrew Stanton,Alexander Gould,295
Brad Bird,Holly Hunter,296
John Lasseter,Tom Hanks,297
Phil Lord,Will Forte,298
Carlos Saldanha,Denis Leary,299
Tony Bancroft,Ming-Na Wen,300
Gary Trousdale,Leonard Nimoy,301
Walt Becker,Bella Thorne,302
Chris Columbus,Peter Dinklage,303
Carlos Saldanha,Anne Hathaway,304
George Miller,Robin Williams,305
Genndy Tartakovsky,Steve Buscemi,306
Kevin Lima,Jeff Bennett,307
Roger Allers,Jon Favreau,308
Sarah Smith,Jim Broadbent,309
Tim Johnson,Bruce Willis,310
Dean DeBlois,Tia Carrere,311
Mike Mitchell,Amy Poehler,312
Chris Wedge,Jim Broadbent,313
Joe Pytka,Bill Murray,314
Eric Brevig,Justin Timberlake,315
Kelly Asbury,Matt Damon,316
Genndy Tartakovsky,Steve Buscemi,317
James Algar,Quincy Jones,318
Barry Cook,Charlie Rowe,319
Joe Dante,Brendan Fraser,320
Luc Besson,Mia Farrow,321
Andrés Couturier,Sariann Monaco,322
Roger Allers,Matthew Broderick,323
Cody Cameron,Will Forte,324
Mark Osborne,Jeff Bridges,325
Des McAnuff,Robert De Niro,326
Yarrow Cheney,Steve Coogan,327
Pierre Coffin,Steve Carell,328
Eric Darnell,Jada Pinkett Smith,329
Carlos Saldanha,Denis Leary,330
Bibo Bergeron,Robert De Niro,331
Gil Kenan,Steve Buscemi,332
Don Bluth,Matt Damon,333
Henry Selick,Brendan Fraser,334
Kyle Balda,Steve Carell,335
Clay Kaytis,Peter Dinklage,336
David Silverman,Albert Brooks,337
Andrew Adamson,Rupert Everett,338
John Lasseter,John Ratzenberger,339
Paul Tibbitt,Tim Conway,340
Betty Thomas,Amy Poehler,341
Bobby Farrelly,Ron Howard,342
Will Finn,Lea Michele,343
Pierre Coffin,Steve Carell,344
Chris Wedge,Goran Visnjic,345
David Bowers,Nicolas Cage,346
Tim Hill,Gary Cole,347
Mark Dindal,Catherine O'Hara,348
Brenda Chapman,Martin Short,349
Eric Darnell,Sylvester Stallone,350
Henry Selick,Jennifer Saunders,351
Chris Butler,Anna Kendrick,352
Sam Fell,Emma Watson,353
Graham Annable,Isaac Hempstead Wright,354
Phil Lord,Morgan Freeman,355
Jorge Blanco,Dwayne Johnson,356
Tim Hill,Bill Murray,357
Patrick Gilmore,Brad Pitt,358
Tim Hill,Jesse McCartney,359
Mike Gabriel,Christian Bale,360
Jimmy Hayward,Amy Poehler,361
Paul King,Julie Walters,362
Peter Lord,Salma Hayek,363
Don Bluth,Kirsten Dunst,364
Steve Oedekerk,Rob Paulsen,365
Andrew Adamson,Kathleen Freeman,366
Peter Hewitt,Bill Murray,367
Matthew O'Callaghan,Will Ferrell,368
Jorge R. Gutiérrez,Channing Tatum,369
Brad Bird,Vin Diesel,370
Paul Bolger,Sarah Michelle Gellar,371
John Lasseter,Kevin Spacey,372
John A. Davis,Nicolas Cage,373
Lawrence Kasanoff,Jerry Stiller,374
Norman Ferguson,Mel Blanc,375
Peter Lord,Imelda Staunton,376
Jamel Debbouze,Jamel Debbouze,377
Cal Brunker,Brendan Fraser,378
Frederik Du Chau,Gary Oldman,379
Wes Anderson,Bill Murray,380
Marc F. Adler,Eric Idle,381
Bibo Bergeron,Adam Goldberg,382
Tim Burton,Martin Landau,383
Yuefeng Song,Blythe Auffarth,384
Kirk De Micco,Cheryl Hines,385
Kevin Munroe,Chris Evans,386
Gary Chapman,Jim Broadbent,387
Hayao Miyazaki,Rumi Hiiragi,388
Jeremy Degruson,Kyle Hebert,389
Mark Dindal,George Kennedy,390
John Lasseter,Tom Hanks,391
Stephen Hillenburg,Scarlett Johansson,392
Stig Bergqvist,Elizabeth Daily,393
Peter Lepeniotis,Liam Neeson,394
Steve Box,Mark Gatiss,395
Tim Burton,Johnny Depp,396
Shane Acker,Martin Landau,397
Stephen J. Anderson,Craig Ferguson,398
Mike Disa,Amy Poehler,399
Reinhard Klooss,Jim Broadbent,400
Maksim Fadeev,Konstantin Khabenskiy,401
Greg Tiernan,James Franco,402
Ron Clements,Robin Williams,403
Igor Kovalyov,Elizabeth Daily,404
Shinji Aramaki,Shun Oguri,405
John A. Davis,Martin Short,406
Cathy Malkasian,Alfre Woodard,407
John Eng,Elizabeth Daily,408
Ben Stassen,Ed Begley Jr.,409
Jérôme Deschamps,Yolande Moreau,410
Inna Evlannikova,Sergey Garmash,411
Richard Williams,Donald Pleasence,412
Hayao Miyazaki,Christian Bale,413
Juan José Campanella,Pablo Rago,414
Trey Parker,Minnie Driver,415
Robin Budd,Roger Rees,416
Steve Trenbirth,Haley Joel Osment,417
Jun Falkenstein,Kath Soucie,418
Anthony Bell,Kevin Sussman,419
Frank Nissen,Kath Soucie,420
Dave Borthwick,Jimmy Fallon,421
Richard Linklater,Robert Downey Jr.,422
Hayao Miyazaki,Minnie Driver,423
Katsuhiro Ôtomo,William Hootkins,424
Wayne Thornley,Leonard Nimoy,425
Tom Walsh,Joey D. Vieira,426
Hayao Miyazaki,Bunta Sugawara,427
Christian Volckman,Romola Garai,428
Cory Edwards,Anne Hathaway,429
Guillaume Ivernel,Rob Paulsen,430
Mike Nawrocki,Yuri Lowenthal,431
Anthony Silverston,Liam Neeson,432
Mike Nawrocki,Phil Vischer,433
Don Bluth,Judith Barsi,434
Stéphane Aubier,Mackenzie Foy,435
Mike Judge,Bruce Willis,436
Tim Johnson,Jim Parsons,437
Lijun Sun,Jon Heder,438
