source,target,value
James Mangold,Sandra Ellis Lafferty,169
James Marsh,Eddie Redmayne,170
Jane Campion,Holly Hunter,171
Jean-Luc Godard,Jean-Paul Belmondo,172
Jean-Pierre Jeunet,Denis Lavant,173
Jean-Pierre Jeunet,Mathieu Kassovitz,174
Jerome Robbins,Rita Moreno,175
Joe Wright,Benedict Cumberbatch,176
Joe Wright,Talulah Riley,177
John Carney,Glen Hansard,178
John Cromwell,David Niven,179
Jonathan Levine,Joseph Gordon-Levitt,180
Josh Boone,Shailene Woodley,181
Kay Pollak,Michael Nyqvist,182
Kenneth Branagh,Brian Blessed,183
Kevin Jordan,Derick Martini,184
Kevin Reynolds,Henry Cavill,185
Kimberly Peirce,Alicia Goranson,186
King Vidor,John Gilbert,187
Lasse Hallstrom,Johnny Depp,188
Lloyd Bacon,Ginger Rogers,189
Marc Forster,Will Ferrell,190
Marc Webb,Joseph Gordon-Levitt,191
Mark Sandrich,Ginger Rogers,192
Matthew Vaughn,Henry Cavill,193
Michael Curtiz,Humphrey Bogart,194
Michael Haneke,Isabelle Huppert,195
Michael Mann,Wes Studi,196
Michael Roemer,Yaphet Kotto,197
Michel Gondry,Kate Winslet,198
Michel Hazanavicius,Berenice Bejo,199
Mike Figgis,Nicolas Cage,200
Nathan Greno,Brad Garrett,201
Neil Burger,Rufus Sewell,202
Neil Burger,Rufus Sewell,203
Nick Cassavetes,Ryan Gosling,204
Norman Jewison,Topol,205
Rajkumar Hirani,Vidya Balan,206
Rakeysh Omprakash Mehra,Anupam Kher,207
Richard Brooks,Burl Ives,208
Richard Curtis,Colin Firth,209
Richard Curtis,Tom Hughes,210
Richard Linklater,Seamus Davey-Fitzpatrick,211
Richard Linklater,Hanno Poschl,212
Richard Linklater,Vernon Dobtcheff,213
Richard Schenkman,William Katt,214
Ridley Scott,Djimon Hounsou,215
Ritesh Batra,Nawazuddin Siddiqui,216
Rob Reiner,Bruno Kirby,217
Rob Reiner,Robin Wright,218
Rob Reiner,Madeline Carroll,219
Robert Wise,Eleanor Parker,220
Robert Zemeckis,Tom Hanks,221
Ron Clements,Robin Williams,222
Scott Hicks,Noah Taylor,223
Shona Auerbach,Gerard Butler,224
Sidney Lumet,Robert Duvall,225
Spike Jonze,Scarlett Johansson,226
Spike Lee,Denzel Washington,227
Stanley Donen,Rita Moreno,228
Stanley Kubrick,James Mason,229
Stanley Kubrick,James Mason,230
Stephen Chbosky,Logan Lerman,231
Stephen Daldry,Kate Winslet,232
Stephen Daldry,Meryl Streep,233
Stephen Frears,Keanu Reeves,234
Stephen Frears,Drake Bell,235
Stephen Frears,Keanu Reeves,236
Terrence Malick,Sam Shepard,237
Thea Sharrock,Sam Claflin,238
Tim Burton,Johnny Depp,239
Tim Miller,Ryan Reynolds,240
Todd Field,Kate Winslet,241
Tom Ford,Colin Firth,242
Tom Hooper,Hugh Jackman,243
Tom Hooper,Colin Firth,244
Tony Scott,Brad Pitt,245
Victor Fleming,Hattie McDaniel,246
Wes Anderson,Bruce Willis,247
William Wyler,Myrna Loy,248
Wolfgang Becker,Florian Lukas,249
Woody Allen,Kurt Fuller,250
Woody Allen,Scarlett Johansson,251
Woody Allen,Woody Allen,252
Yash Chopra,Shah Rukh Khan,253
Yimou Zhang,Christian Bale,254
Yimou Zhang,Takeshi Kaneshiro,255
Zach Braff,Armando Riesco,256
Alejandro Amenibar,Tamar Novas,257
Alejandro G. Inarritu,Merritt Wever,258
Alfonso Cuaron,Maria Aura,259
Alfred Hitchcock,Leo G. Carroll,260
Alice Wu,Jessica Hecht,261
Andrew Haigh,Vauxhall Jermaine,262
Ang Lee,Tom Wilkinson,263
Ang Lee,Sihung Lung,264
