source,target,value
David Fincher,Emily Ratajkowski,164
David Fincher,Charles Martinet,165
David Fincher,Reg E. Cathey,166
David Lynch,Laura Harring,167
Denis Villeneuve,Dylan Minnette,168
Denis Villeneuve,Daniel Kaluuya,169
Denis Villeneuve,Ahmad Massad,170
Denys Arcand,Marina Hands,171
Doug Liman,Nicky Naude,172
Duncan Jones,Benedict Wong,173
Edgar Wright,Billie Whitelaw,174
Francois Girard,Carlo Cecchi,175
Francis Ford Coppola,Cindy Williams,176
Frank Darabont,Michael Jeter,177
George A. Romero,S. William Hinzman,178
George A. Romero,S. William Hinzman,179
Giuseppe Tornatore,Liya Kebede,180
Guy Ritchie,Robert Maillet,181
Hong-jin Na,Woo-hee Chun,182
James Foley,Jude Ciccolella,183
James Wan,Robin Atkin Downes,184
James Wan,Shawnee Smith,185
Jean-Pierre Jeunet,Albert Dupontel,186
Joe Wright,Brenda Blethyn,187
John Carpenter,David Clennon,188
John Sayles,Miriam Colon,189
Juan Jose Campanella,Guillermo Francella,190
Justin Paul Miller,Felix Avitia,191
M. Night Shyamalan,Olivia Williams,192
Martin Scorsese,Nellie Sciutto,193
Michael Haneke,Leonie Benesch,194
Mike Newell,Rupert Grint,195
Mike van Diem,Hans Kesting,196
Neil Burger,Jake Wood,197
Neil Burger,Jake Wood,198
Niels Arden Oplev,Lena Endre,199
Orson Welles,Ted de Corsia,200
Paul Greengrass,Albert Finney,201
Paul Greengrass,Oksana Akinshina,202
Paul McGuigan,Dorian Missick,203
Paul McGuigan,Dorian Missick,204
Pedro Almodóvar,Antonio de la Torre,205
Quentin Tarantino,Zoe Bell,206
Richard Donner,Billie Whitelaw,207
Richard Donner,Billie Whitelaw,208
Shane Black,Larry Miller,209
Spike Lee,Peter Gerety,210
Stanley Kubrick,Glenn Beck,211
Steven Spielberg,Jessica Capshaw,212
Zack Snyder,Stephen McHattie,213
