source,target,value
Francis Lawrence,Sandra Ellis Lafferty,168
Fritz Lang,Rudolf Klein-Rogge,169
George Lucas,Hayden Christensen,170
George Lucas,Kenny Baker,171
George Miller,Zoë Kravitz,172
George Miller,Kjell Nilsson,173
Hideaki Anno,Atsuko Maeda,174
Hideaki Anno,Atsuko Maeda,175
Irvin Kershner,Anthony Daniels,176
J.J. Abrams,Noel Clarke,177
J.J. Abrams,Bruce Greenwood,178
James Cameron,Wes Studi,179
James Cameron,S. Epatha Merkerson,180
James Cameron,Mary Elizabeth Mastrantonio,181
James Cameron,Jenette Goldstein,182
James Cameron,Paul Winfield,183
James Gunn,Djimon Hounsou,184
Jay Oliva,Grey Griffin,185
John Carpenter,David Clennon,186
John McTiernan,Carl Weathers,187
Jon Favreau,Jon Favreau,188
Jonathan Frakes,Jonathan Frakes,189
Joseph Kosinski,Erick Avari,190
Joss Whedon,Scarlett Johansson,191
Joss Whedon,Scarlett Johansson,192
Joss Whedon,Michael Hitchcock,193
Katsuhiro Ôtomo,Tesshô Genda,194
Lana Wachowski,Gloria Foster,195
Luc Besson,Gary Oldman,196
Matt Reeves,Kodi Smit-McPhee,197
Matthew Vaughn,Oliver Platt,198
Michel Gondry,Tom Wilkinson,199
Neill Blomkamp,Jason Cope,200
Nicholas Meyer,Nichelle Nichols,201
Peter Weir,Peter Krause,202
Rich Moore,Joe Lo Truglio,203
Richard Kelly,James Duval,204
Richard Marquand,Kenny Baker,205
Richard Schenkman,David Lee Smith,206
Ridley Scott,Benedict Wong,207
Ridley Scott,M. Emmet Walsh,208
Ridley Scott,Bolaji Badejo,209
Robert Zemeckis,Thomas F. Wilson,210
Robert Zemeckis,J.J. Cohen,211
Ruben Fleischer,Derek Graf,212
Rupert Wyatt,Tyler Labine,213
Spike Jonze,Matt Letscher,214
Stanley Kubrick,Glenn Beck,215
Steven Spielberg,Jessica Capshaw,216
Steven Spielberg,Bob Peck,217
Steven Spielberg,Melinda Dillon,218
Steven Spielberg,Peter Coyote,219
Terry Gilliam,Jim Broadbent,220
Tim Miller,Stefan Kapicic,221
Zack Snyder,Stephen McHattie,222
