source,target,value
Joshua Oppenheimer,Syamsul Arifin,168
Kimberly Peirce,Brendan Sexton III,169
Kimberly Peirce,Alicia Goranson,170
Kimberly Peirce,Jeannetta Arnette,171
Lars von Trier,Udo Kier,172
Lars von Trier,Catherine Deneuve,173
Lars von Trier,Bjork,174
Lukas Moodysson,Artyom Bogucharskiy,175
Lukas Moodysson,Oksana Akinshina,176
Lukas Moodysson,Lyubov Agapova,177
Martin Brest,Yaphet Kotto,178
Martin Brest,Robert De Niro,179
Martin Brest,Philip Baker Hall,180
Martin McDonagh,Anna Madeley,181
Martin McDonagh,Elizabeth Berrington,182
Martin McDonagh,Eric Godon,183
Martin Scorsese,Matthew McConaughey,184
Martin Scorsese,Matt Damon,185
Martin Scorsese,Don Rickles,186
Martin Scorsese,Mike Starr,187
Martin Scorsese,Albert Brooks,188
Martin Scorsese,Leonardo DiCaprio,189
Martin Scorsese,Leonardo DiCaprio,190
Martin Scorsese,Robert De Niro,191
Martin Scorsese,Robert De Niro,192
Martin Scorsese,Robert De Niro,193
Martin Scorsese,Jon Favreau,194
Martin Scorsese,Ray Winstone,195
Martin Scorsese,Kevin Pollak,196
Martin Scorsese,Paul Sorvino,197
Martin Scorsese,Peter Boyle,198
Mary Harron,Justin Theroux,199
Mary Harron,Christian Bale,200
Mary Harron,Samantha Mathis,201
Michael Mann,Jada Pinkett Smith,202
Michael Mann,Tom Cruise,203
Michael Mann,Debi Mazar,204
Michael Moore,Dick Clark,205
Michael Moore,Michael Moore,206
Michael Moore,Bill Clinton,207
Mike Leigh,Sally Hawkins,208
Mike Leigh,Eddie Marsan,209
Mike Leigh,Imelda Staunton,210
Mike Newell,Al Pacino,211
Mike Newell,Johnny Depp,212
Mike Newell,Anne Heche,213
Mike van Diem,Fedja van Huêt,214
Mike van Diem,Jan Decleir,215
Mike van Diem,Hans Kesting,216
Morten Tyldum,Synnøve Macody Lund,217
Morten Tyldum,Aksel Hennie,218
Morten Tyldum,Julie R. Ølgaard,219
Nicolas Winding Refn,Albert Brooks,220
Nicolas Winding Refn,Ryan Gosling,221
Nicolas Winding Refn,Russ Tamblyn,222
Niels Arden Oplev,David Dencik,223
Niels Arden Oplev,Michael Nyqvist,224
Niels Arden Oplev,Lena Endre,225
Orson Welles,Everett Sloane,226
Orson Welles,Rita Hayworth,227
Orson Welles,Ted de Corsia,228
Paul Haggis,Loretta Devine,229
Paul Haggis,Loretta Devine,230
Paul Haggis,Don Cheadle,231
Paul Haggis,Don Cheadle,232
Paul Haggis,Jennifer Esposito,233
Paul Haggis,Jennifer Esposito,234
Paul McGuigan,Morgan Freeman,235
Paul McGuigan,Morgan Freeman,236
Paul McGuigan,Bruce Willis,237
Paul McGuigan,Bruce Willis,238
Paul McGuigan,Dorian Missick,239
Paul McGuigan,Dorian Missick,240
Pedro Almod�var,Lola Due�as,241
Pedro Almod�var,Carmen Maura,242
Pedro Almod�var,Antonio de la Torre,243
Quentin Tarantino,Jennifer Jason Leigh,244
Quentin Tarantino,Michael Parks,245
Quentin Tarantino,Steve Buscemi,246
Quentin Tarantino,Craig Stark,247
Quentin Tarantino,Vivica A. Fox,248
Quentin Tarantino,Quentin Tarantino,249
Quentin Tarantino,Zoe Bell,250
Quentin Tarantino,Michael Bowen,251
Quentin Tarantino,Chris Penn,252
Ralph Ziman,Kenneth Nkosi,253
Ralph Ziman,Rapulana Seiphemo,254
Ralph Ziman,Robert Hobbs,255
Richard Brooks,Robert Blake,256
Richard Brooks,John Forsythe,257
Richard Brooks,Will Geer,258
Ricki Stern,Evelyn Jefferson,259
Ricki Stern,Darryl Hunt,260
Ricki Stern,John Reeves,261
Ridley Scott,Ruby Dee,262
Ridley Scott,Denzel Washington,263
Ridley Scott,RZA,264
Robert Mulligan,Brock Peters,265
Robert Mulligan,Robert Duvall,266
Robert Mulligan,William Windom,267
Sam Mendes,Jennifer Jason Leigh,268
Sam Mendes,Tom Hanks,269
Sam Mendes,Liam Aiken,270
Sergio Leone,Burt Young,271
Sergio Leone,Robert De Niro,272
Sergio Leone,Treat Williams,273
Shane Black,Corbin Bernsen,274
Shane Black,Robert Downey Jr.,275
Shane Black,Larry Miller,276
Shane Meadows,Joseph Gilgun,277
Shane Meadows,Gary Stretch,278
Shane Meadows,Stephen Graham,279
Shane Meadows,Paddy Considine,280
Shane Meadows,Jack O'Connell,281
Shane Meadows,George Newton,282
Spike Lee,James Ransone,283
Spike Lee,Denzel Washington,284
Spike Lee,Peter Gerety,285
Stéphane Aubier,Megan Mullally,286
Stéphane Aubier,Mackenzie Foy,287
Stéphane Aubier,Lambert Wilson,288
Stanley Kramer,Sid Caesar,289
Stanley Kramer,Jonathan Winters,290
Stanley Kramer,Spencer Tracy,291
Stanley Kubrick,Shelley Winters,292
