source,target,value
Steven Spielberg,Vin Diesel,166
Steven Spielberg,Tom Hanks,167
Steven Spielberg,Matt Damon,168
Terrence Malick,Miranda Otto,169
Terrence Malick,Nick Stahl,170
Terrence Malick,Dash Mihok,171
Terry George,Sophie Okonedo,172
Terry George,Don Cheadle,173
Terry George,Hakeem Kae-Kazim,174
Victor Fleming,George Reeves,175
Victor Fleming,Hattie McDaniel,176
Victor Fleming,Thomas Mitchell,177
Vincent Paronnaud,Gena Rowlands,178
Vincent Paronnaud,Catherine Deneuve,179
Vincent Paronnaud,Danielle Darrieux,180
William Wyler,Teresa Wright,181
William Wyler,Myrna Loy,182
William Wyler,Dana Andrews,183
Wolfgang Petersen,Martin Semmelrogge,184
Wolfgang Petersen,Jurgen Prochnow,185
Wolfgang Petersen,Herbert Granemeyer,186
Yimou Zhang,Ni Ni,187
Yimou Zhang,Christian Bale,188
Yimou Zhang,Shigeo Kobayashi,189
Zack Snyder,Michael Fassbender,190
Zack Snyder,Gerard Butler,191
Zack Snyder,Vincent Regan,192
