source,target,value
John Cameron Mitchell,Andrea Martin,47.3
John Landis,Aretha Franklin,47.6
John Landis,Karen Allen,47.9
John Landis,John Belushi,48.2
John Landis,John Belushi,48.5
John Landis,Ray Charles,48.8
John Landis,Tim Matheson,49.1
John Lasseter,John Ratzenberger,49.4
John Lasseter,John Ratzenberger,49.7
John Lasseter,Tom Hanks,50
John Lasseter,Tom Hanks,50.3
John Lasseter,Wayne Knight,50.6
John Lasseter,Jim Varney,50.9
Jonathan Dayton,Steven Christopher Parker,51.2
Jonathan Dayton,Steve Carell,51.5
Jonathan Dayton,Jill Talley,51.8
Jonathan Levine,Anna Kendrick,52.1
Jonathan Levine,Joseph Gordon-Levitt,52.4
Jonathan Levine,Bryce Dallas Howard,52.7
Justin Paul Miller,Jennifer Landa,53
Justin Paul Miller,Mary Kate Wiles,53.3
Justin Paul Miller,Felix Avitia,53.6
Kay Pollak,Frida Hallgren,53.9
Kay Pollak,Michael Nyqvist,54.2
Kay Pollak,Nils-Anders Vallgårda,54.5
Kevin Jordan,Christa Miller,54.8
Kevin Jordan,Derick Martini,55.1
Kevin Jordan,Ion Overman,55.4
Kevin Smith,Brian O'Halloran,55.7
Kevin Smith,Jason Mewes,56
Kevin Smith,Jeff Anderson,56.3
Larry Charles,Tal Bachman,56.6
Larry Charles,Bill Maher,56.9
Larry Charles,Steve Burg,57.2
Lee Unkrich,John Ratzenberger,57.5
Lee Unkrich,Tom Hanks,57.8
Lee Unkrich,Don Rickles,58.1
Lloyd Bacon,Dick Powell,58.4
Lloyd Bacon,Ginger Rogers,58.7
Lloyd Bacon,George Brent,59
Marc Forster,Christian Stolte,59.3
Marc Forster,Will Ferrell,59.6
Marc Forster,Danny Rhodes,59.9
Marc Webb,Chloë Grace Moretz,60.2
Marc Webb,Joseph Gordon-Levitt,60.5
Marc Webb,Zooey Deschanel,60.8
Mark Osborne,Wayne Knight,61.1
Mark Osborne,Angelina Jolie Pitt,61.4
Mark Osborne,Dan Fogler,61.7
Mark Sandrich,Edward Everett Horton,62
Mark Sandrich,Ginger Rogers,62.3
Mark Sandrich,Eric Blore,62.6
Martin Brest,Yaphet Kotto,62.9
Martin Brest,Robert De Niro,63.2
Martin Brest,Philip Baker Hall,63.5
Martin McDonagh,Anna Madeley,63.8
Martin McDonagh,Elizabeth Berrington,64.1
Martin McDonagh,Eric Godon,64.4
Martin Scorsese,Matthew McConaughey,64.7
Martin Scorsese,Leonardo DiCaprio,65
Martin Scorsese,Jon Favreau,65.3
Matthew Vaughn,Deborah Twiss,65.6
