source,target,value
Richard Attenborough,Candice Bergen,167
Richard Attenborough,John Gielgud,168
Richard Brooks,Robert Blake,169
Richard Brooks,John Forsythe,170
Richard Brooks,Will Geer,171
Ridley Scott,Ruby Dee,172
Ridley Scott,Denzel Washington,173
Ridley Scott,RZA,174
Robert Wise,Angela Cartwright,175
Robert Wise,Eleanor Parker,176
Robert Wise,Nicholas Hammond,177
Roger Donaldson,Antony Starr,178
Roger Donaldson,Anthony Hopkins,179
Roger Donaldson,Craig Hall,180
Roman Polanski,Frank Finlay,181
Roman Polanski,Emilia Fox,182
Roman Polanski,Ed Stoppard,183
Ron Howard,Bruce McGill,184
Ron Howard,Austin Pendleton,185
Ron Howard,Olivia Wilde,186
Ron Howard,Paddy Considine,187
Ron Howard,Adam Goldberg,188
Ron Howard,Chris Hemsworth,189
Ron Howard,Rosemarie DeWitt,190
Ron Howard,Judd Hirsch,191
Ron Howard,Alexandra Maria Lara,192
Sadyk Sher-Niyaz,Aziz Muradillayev,193
Sadyk Sher-Niyaz,Elina Abai Kyzy,194
Sadyk Sher-Niyaz,Mirlan Abdulayev,195
Scott Hicks,Armin Mueller-Stahl,196
Scott Hicks,Noah Taylor,197
Scott Hicks,Nicholas Bell,198
Sean Penn,William Hurt,199
Sean Penn,Kristen Stewart,200
Sean Penn,Hal Holbrook,201
Spike Lee,Delroy Lindo,202
Spike Lee,Denzel Washington,203
Spike Lee,Al Freeman Jr.,204
Stephen Frears,Mare Winningham,205
Stephen Frears,Steve Coogan,206
Stephen Frears,Peter Hermann,207
Steve McQueen,Scoot McNairy,208
Steve McQueen,Quvenzhane Wallis,209
Steve McQueen,Taran Killam,210
Steven Spielberg,Tom Hanks,211
Steven Spielberg,Leonardo DiCaprio,212
Steven Spielberg,Jennifer Garner,213
Taylor Hackford,Curtis Armstrong,214
Taylor Hackford,Bokeem Woodbine,215
Taylor Hackford,Harry Lennix,216
Ted Demme,Ethan Suplee,217
Ted Demme,Johnny Depp,218
Ted Demme,Jordi Mollà,219
Tim Burton,Bill Murray,220
Tim Burton,Johnny Depp,221
Tim Burton,Martin Landau,222
Tom Hooper,Jennifer Ehle,223
Tom Hooper,Mark Bazeley,224
Tom Hooper,Colin Firth,225
Tom Hooper,Stephen Graham,226
Tom Hooper,Derek Jacobi,227
Tom Hooper,Maurice Roeves,228
Tom McCarthy,Jamey Sheridan,229
Tom McCarthy,Billy Crudup,230
Tom McCarthy,Brian d'Arcy James,231
Vincent Paronnaud,Gena Rowlands,232
Vincent Paronnaud,Catherine Deneuve,233
Vincent Paronnaud,Danielle Darrieux,234
