source ,target,value
Alejandro G. Iñárritu,Lukas Haas,359
Mark Osborne,Dan Fogler,360
Francis Lawrence,Sandra Ellis Lafferty,361
Alfonso Cuarón,Rupert Grint,362
Chris Columbus,Verne Troyer,363
Hideaki Anno,Atsuko Maeda,364
Gore Verbinski,Jack Davenport,365
Bryan Singer,Aaron Stanford,366
Guy Ritchie,Paul Anderson,367
Ang Lee,Tabu,368
George Lucas,Hayden Christensen,369
Pete Docter,James Coburn,370
Alfonso Cuaron,Amy Warren,371
Peter Jackson,Billy Boyd,372
Ridley Scott,Benedict Wong,373
Martin Campbell,Ivana Milicevic,374
Edward Zwick,Stephen Collins,375
Luc Besson,Gary Oldman,376
Andrew Stanton,Brad Garrett,377
Peter Jackson,Bernard Hill,378
Peter Jackson,Billy Boyd,379
Brad Bird,Lou Romano,380
John Lasseter,Wayne Knight,381
Tony Bancroft,June Foray,382
John McTiernan,Kevin Chamberlin,383
Guy Ritchie,Robert Maillet,384
Robert Zemeckis,Nick Searcy,385
Roger Allers,Niketa Calame,386
Mark Osborne,Mackenzie Foy,387
Quentin Tarantino,Christoph Waltz,388
Tim Burton,Albert Finney,389
James Cameron,Mary Elizabeth Mastrantonio,390
Matthew Vaughn,Nathaniel Parker,391
Chris Wedge,Denis Leary,392
Ron Howard,Kathleen Quinlan,393
Steven Spielberg,Bob Peck,394
Phil Lord,Alison Brie,395
Cameron Crowe,Michael Angarano,396
Joss Whedon,Scarlett Johansson,397
Tim Miller,Stefan Kapicic,398
Andrew Adamson,Bobby Block,399
Brad Bird,M. Emmet Walsh,400
Steven Spielberg,Alison Doody,401
James Mangold,Gretchen Mol,402
Ted Kotcheff,Chris Mulkey,403
Jonathan Frakes,Jonathan Frakes,404
Andrew Davis,Sela Ward,405
Yimou Zhang,Maggie Cheung,406
Robert Zemeckis,Thomas F. Wilson,407
Michael Mann,Eric Schweig,408
Kevin Reynolds,Michael Wincott,409
Mel Gibson,Jonathan Brewer,410
Wes Anderson,Helen McCrory,411
S.S. Rajamouli,Prabhas,412
Joss Whedon,Michael Hitchcock,413
Tim Burton,William Hootkins,414
Ethan Coen,Bruce Green,415
Hayao Miyazaki,Yuria Nara,416
Richard Marquand,Kenny Baker,417
Wes Anderson,F. Murray Abraham,418
John Lasseter,Jim Varney,419
John McTiernan,Courtney B. Vance,420
Greg Tiernan,Anders Holm,421
Ron Clements,Scott Weinger,422
Steven Spielberg,Kate Capshaw,423
Jon Favreau,Garry Shandling,424
Philip Kaufman,Sam Shepard,425
Joel Coen,Daniel von Bargen,426
Hayao Miyazaki,Jean Simmons,427
Ruben Fleischer,Derek Graf,428
Irvin Kershner,Anthony Daniels,429
William Friedkin,Amidou,430
Steven Spielberg,William Hootkins,431
Sean Penn,Hal Holbrook,432
Hayao Miyazaki,Billy Crudup,433
Kevin Costner,Maury Chaykin,434
Robert Zemeckis,J.J. Cohen,435
Hayao Miyazaki,Miyu Irino,436
Terry Gilliam,Ellen Barkin,437
Danny Boyle,Kate Burton,438
James Cameron,Jenette Goldstein,439
Alexander Payne,M.C. Gainey,440
Yimou Zhang,Maggie Cheung,441
Wes Anderson,Bob Balaban,442
David Lean,Jack Hawkins,443
Rob Reiner,André the Giant,444
Tommy Lee Jones,Guillermo Arriaga,445
Ted Kotcheff,Chris Mulkey,446
John Cromwell,Ronald Colman,447
Steven Spielberg,Murray Hamilton,448
Nicholas Meyer,Nichelle Nichols,449
Martin Campbell,Ivana Milicevic,450
Alexander Payne,Will Forte,451
Wolfgang Petersen,Herbert Grönemeyer,452
Yimou Zhang,Zhengyong Zhang,453
George Lucas,Kenny Baker,454
Stanley Kubrick,Hardy Krüger,455
Stanley Kubrick,Glenn Beck,456
Stanley Kramer,Spencer Tracy,457
Karan Johar,Christopher B. Duncan,458
James Frawley,Dom DeLuise,459
Rob Reiner,Casey Siemaszko,460
Justin Tipping,Justin Hall,461
Tomm Moore,Evan McGuire,462
Sam Mendes,Rory Kinnear,463
Phillip Noyce,Deborah Mailman,464
Sam Peckinpah,L.Q. Jones,465
Alfonso Cuarón,María Aura,466
John Sturges,Gordon Jackson,467
Aleksandr Veledinskiy,Eugenia Khirivskaya,468
Guy Hamilton,Lois Maxwell,469
David Lean,Jack Hawkins,470
Howard Hawks,Harry Carey Jr.,471
Victor Fleming,Billie Burke,472
Terence Young,Lois Maxwell,473
George Miller,Kjell Nilsson,474
Kevin Macdonald,Joe Simpson,475
Khyentse Norbu,Sonam Kinga,476
Anthony Powell,Anthony Powell,477
Joseph Kosinski,Erick Avari,478
Akira Kurosawa,Kamatari Fujiwara,479
Terry Gilliam,Terry Jones,480
