genre,value
Action,3164.552239
Adventure,3405.546667
Animation,0
Biography,3166.666667
Comedy,2119.639344
Crime,2818.571429
Documentary,0
Drama,2939.868132
Family,6651.636364
Fantasy,4360.948718
Film-Noir,0
History,2586.333333
Horror,3944.185185
Music,2284.380952
Musical,1493.2
Mystery,1647.1875
News,0
Romance,1009.27027
Sci-Fi,5220.338983
Short,0
Sport,19.625
Thriller,1912.537037
War,3654.733333
Western,257.25
