genre,value
Action,1574.242021
Adventure,2145.215686
Animation,1320.309524
Biography,1756.326316
Comedy,1137.486005
Crime,1864.811989
Documentary,400.1818182
Drama,2356.479592
Family,1034.225962
Fantasy,2862.943005
Film-Noir,0
History,1162.85
Horror,982.6143791
Music,958.2941176
Musical,821.5365854
Mystery,2287.543689
News,0
Romance,1682.684665
Sci-Fi,3214.451282
Short,0
Sport,563.7701149
Thriller,2128.968872
War,2419
Western,408.8333333
