genre,value
Action,0
Adventure,0
Animation,0
Biography,0
Comedy,0
Crime,0
Documentary,0
Drama,305.6666667
Family,0
Fantasy,0
Film-Noir,0
History,691
Horror,0
Music,0
Musical,0
Mystery,0
News,0
Romance,226
Sci-Fi,0
Short,0
Sport,0
Thriller,0
War,458.5
Western,0
