genre,value
Action,32097.34194
Adventure,47691.16247
Animation,15994.75118
Biography,35201.24791
Comedy,20405.65957
Crime,36261.43752
Documentary,4652.752241
Drama,38494.74332
Family,32930.71301
Fantasy,45144.40668
Film-Noir,389.6666667
History,41588.58307
Horror,32835.67769
Music,21410.73123
Musical,22243.51039
Mystery,36941.10157
News,3496.333333
Romance,29029.89902
Sci-Fi,55415.09368
Short,34
Sport,13847.40805
Thriller,27985.35469
War,37147.38013
Western,31142.11667
