genre,value
Action,20836.22605
Adventure,27159.18593
Animation,11887.35075
Biography,19714.86207
Comedy,10057.73456
Crime,13587.8318
Documentary,3919.070423
Drama,14651.82047
Family,11746.35484
Fantasy,20959.55311
Film-Noir,0
History,13999.40449
Horror,10533.70863
Music,10276.99187
Musical,12463.38095
Mystery,15791.41038
News,3496.333333
Romance,12537.21378
Sci-Fi,29287.16605
Short,18
Sport,12930.74627
Thriller,15561.2848
War,15560.46053
Western,19741.33333
