genre,value
Action,0
Adventure,4857.666667
Animation,750
Biography,0
Comedy,48
Crime,0
Documentary,0
Drama,4809.882353
Family,7318.5
Fantasy,8380.571429
Film-Noir,0
History,16000
Horror,0
Music,2529.285714
Musical,2450.833333
Mystery,0
News,0
Romance,6804.416667
Sci-Fi,0
Short,0
Sport,0
Thriller,0
War,9779
Western,319.5
