genre,value
Action,311.2352941
Adventure,4165.866667
Animation,0
Biography,0
Comedy,1760.88
Crime,6038.375
Documentary,0
Drama,3893.125
Family,116.5714286
Fantasy,4680.833333
Film-Noir,0
History,185.4285714
Horror,4115
Music,65.2
Musical,93.14285714
Mystery,4482
News,0
Romance,1560.714286
Sci-Fi,2069.923077
Short,0
Sport,0
Thriller,1686.95
War,132.3333333
Western,2256.6
