genre,value
Action,204
Adventure,204
Animation,0
Biography,0
Comedy,353.4
Crime,926
Documentary,0
Drama,2291
Family,0
Fantasy,0
Film-Noir,0
History,328
Horror,0
Music,483.5
Musical,483.5
Mystery,0
News,0
Romance,409.625
Sci-Fi,12000
Short,0
Sport,0
Thriller,0
War,232
Western,0
