genre,value
Action,1478.086331
Adventure,2303.180851
Animation,2037.090909
Biography,4035.392857
Comedy,2198.269663
Crime,3606.297297
Documentary,333.5
Drama,3119.773663
Family,2797.674419
Fantasy,3611.890411
Film-Noir,0
History,3819.2
Horror,3295.169492
Music,813.4
Musical,1490.5
Mystery,3497.96
News,0
Romance,2173.307692
Sci-Fi,2468.214286
Short,16
Sport,333.2666667
Thriller,2121.980645
War,2099.352941
Western,3200
