genre,value
Action,654.3333333
Adventure,1967
Animation,0
Biography,5800
Comedy,2526.5
Crime,7183.75
Documentary,0
Drama,3136.794118
Family,3000
Fantasy,0
Film-Noir,0
History,2357.7
Horror,9500
Music,3686.428571
Musical,2634.166667
Mystery,9235
News,0
Romance,2347.066667
Sci-Fi,1000
Short,0
Sport,0
Thriller,3240.3
War,2500
Western,4050.2
